Марка;Price USD;Gryvnya;City;Link;Low Title
Hyosung GT 2018;3 607 $;96 558 грн;Киев;https://auto.ria.com/newauto/auto-hyosung-gt-1622926.html;250R EFi
Hyosung GT 2018;3 526 $;94 380 грн;Киев;https://auto.ria.com/newauto/auto-hyosung-gt-1622924.html;250 Comet EFI
Hyosung GT 2018;5 334 $;142 780 грн;Киев;https://auto.ria.com/newauto/auto-hyosung-gt-1622927.html;650 Comet EFI
Hyosung GT 2018;5 515 $;147 620 грн;Киев;https://auto.ria.com/newauto/auto-hyosung-gt-1622928.html;650R EFi
Westfield Drill Fill 2020;Цену уточняйте;Not Available;Винница;https://auto.ria.com/newauto/auto-westfield-drill-fill-1825939.html;4.5
Westfield Drill Fill 2018;Цену уточняйте;Not Available;Белая Церковь;https://auto.ria.com/newauto/auto-westfield-drill-fill-1718452.html;4.5
Porsche Cayenne 2019;112 895 $;3 257 012 грн;Киев;https://auto.ria.com/newauto/auto-porsche-cayenne-1836760.html;base
Renault Logan 2020;14 155 $;378 400 грн;Киев;https://auto.ria.com/newauto/auto-renault-logan-1827094.html;New 0.9 TCe 5MT (90 л.с.)
Citroen C4 Cactus 2020;20 541 $;550 050 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1838517.html;1.5 BlueHDi АКПП (120 л.с.) S&S
Volkswagen Touareg 2019;73 086 $;1 953 576 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-volkswagen-touareg-1831047.html;3.0 TFSI AT (340 л.с.) AWD
Nissan Qashqai 2020;22 294 $;597 000 грн;Харьков;https://auto.ria.com/newauto/auto-nissan-qashqai-1837721.html;New FL 2.0 CVT (144 л.с.) 2WD
Ravon Nexia R3 2020;11 964 $;319 800 грн;Харьков;https://auto.ria.com/newauto/auto-ravon-nexia-r3-1834576.html;1.5 AT (106 л.с.)
Opel Grandland X 2020;23 662 $;632 200 грн;Запорожье;https://auto.ria.com/newauto/auto-opel-grandland-x-1838105.html;1.5D 6MT (130 л.с.) Start/Stop
Hyundai H1 пасс. 2020;38 066 $;1 017 500 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-hyundai-h1-pass-1832777.html;2.5 CRDi АТ (170 л.с.) (8s)
Infiniti Q50 2019;28 933 $;773 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-q50-1814931.html;Pure 2.0 АТ (211 л.с.)
Infiniti QX50 2019;49 852 $;1 334 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-qx50-1785585.html;Luxe Proassist 2.0i CVT (249 л.с.) AWD
Infiniti QX50 2018;42 088 $;1 125 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-qx50-1833704.html;Luxe 2.0i CVT (249 л.с.) AWD
Infiniti QX60 2018;48 598 $;1 199 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-qx60-1747335.html;Premium + Roof Rail 2.5 CVT Hybrid (250 л.с.)
Infiniti QX80 2020;83 388 $;2 151 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-qx80-1746733.html;Luxe Proactive 5.6i AT (405 л.с.) AWD 8s
Infiniti QX80 2019;83 388 $;2 150 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-qx80-1746732.html;Luxe Proactive 5.6i AT (405 л.с.) AWD 8s
Infiniti Q60 2019;41 070 $;1 099 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-q60-1785566.html;Premium+Navi 2.0 AT (211 л.с.)
Infiniti QX50 2019;61 100 $;1 635 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-qx50-1775006.html;Individual 2.0i CVT (249 л.с.) AWD
Infiniti Q60 2019;52 790 $;1 412 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-q60-1814301.html;Sport+Navi S 3.0 AT (405 л.с.) AWD
Infiniti QX60 2019;53 950 $;1 350 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-qx60-1736575.html;Elite + Roof Rail 2.5 CVT Hybrid (250 л.с.)
Infiniti QX50 2019;49 065 $;1 311 480 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx50-1833201.html;Luxe Proassist 2.0i CVT (249 л.с.) AWD
Infiniti QX50 2019;55 855 $;1 493 000 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx50-1830687.html;Sensory Proassist 2.0i CVT (249 л.с.) AWD
Infiniti Q50 2019;37 013 $;990 000 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-q50-1809475.html;Sport Pack 1 + 3 2.0 АТ (211 л.с.)
Infiniti Q50 2019;33 348 $;870 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-q50-1835135.html;Luxe Pack 1 + Pack 2 2.0 АТ (211 л.с.)
Infiniti Q60 2019;51 516 $;1 377 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-q60-1836318.html;Sport+Navi S 3.0 AT (405 л.с.) AWD
Infiniti QX50 2019;48 957 $;1 311 000 грн;Хмельницкий;https://auto.ria.com/newauto/auto-infiniti-qx50-1838609.html;Luxe Proassist 2.0i CVT (249 л.с.) AWD
Infiniti QX60 2019;49 480 $;1 325 000 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx60-1837747.html;Elite + Roof Rail 2.5 CVT Hybrid (250 л.с.)
Infiniti QX60 2019;44 737 $;1 198 000 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx60-1837533.html;Premium + Roof Rail 2.5 CVT Hybrid (250 л.с.)
Infiniti QX60 2018;45 000 $;1 205 032 грн;Одесса;https://auto.ria.com/newauto/auto-infiniti-qx60-1838621.html;Elite + Roof Rail 2.5 CVT Hybrid (250 л.с.)
Infiniti Q50 2019;30 677 $;820 000 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-q50-1835106.html;Luxe Pack 1 + Pack 2 2.0 АТ (211 л.с.)
Infiniti QX50 2019;48 055 $;1 232 360 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx50-1834751.html;Luxe Essential 2.0i CVT (249 л.с.) AWD
Infiniti QX80 2020;82 490 $;2 204 940 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx80-1834739.html;Luxe Proactive 5.6i AT (405 л.с.) AWD 8s
Infiniti QX50 2019;40 866 $;1 091 810 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx50-1838682.html;Pure 2.0i CVT (249 л.с.) AWD
Infiniti QX50 2019;41 626 $;1 114 690 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx50-1838677.html;Pure 2.0i CVT (249 л.с.) AWD
Infiniti QX50 2019;59 395 $;1 551 430 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx50-1835967.html;Sensory Proactive 2.0i CVT (249 л.с.) AWD
Infiniti QX50 2019;41 626 $;1 114 690 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx50-1838681.html;Pure 2.0i CVT (249 л.с.) AWD
Infiniti QX80 2019;72 029 $;1 925 310 грн;Киев;https://auto.ria.com/newauto/auto-infiniti-qx80-1834714.html;Luxe Proactive 5.6i AT (405 л.с.) AWD
Citroen C5 Aircross 2020;33 373 $;893 690 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1837665.html;Individual 2.0 BHDi AT (180 л.с.)
Citroen C5 Aircross 2019;30 576 $;764 000 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1784863.html;Individual 2.0 BHDi AT (180 л.с.)
Citroen Berlingo пасс. 2020;19 624 $;525 510 грн;Киев;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1837669.html;Feel 1.6 HDi MT (92 л.с.) L1
Citroen C-Elysee 2020;13 237 $;354 460 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c-elysee-1837635.html;Feel New 1.6 MТ (115 л.с.)
Citroen C5 Aircross 2020;27 307 $;730 000 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c5-aircross-1828943.html;Feel 1.6 PureTech AT (165 л.с.)
Citroen C5 Aircross 2019;30 154 $;764 000 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1819652.html;Feel 2.0 BHDi AT (180 л.с.)
Citroen C3 2020;21 671 $;579 000 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c3-1835778.html;Shine Aircross 1.5 BlueHDi AT (120 л.с.) S&S
Citroen C5 Aircross 2020;34 900 $;932 870 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1832916.html;Shine 2.0 BHDi AT (180 л.с.)
Citroen C-Elysee 2019;17 066 $;456 470 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c-elysee-1813970.html;Shine New 1.6HDi MT (92 л.с.)
Citroen C5 Aircross 2019;31 936 $;853 240 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1825615.html;Individual 2.0 BHDi AT (180 л.с.)
Citroen C-Elysee 2018;14 059 $;376 200 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c-elysee-1791541.html;Individual New 1.6HDi MT (92 л.с.)
Citroen C5 Aircross 2019;29 562 $;790 180 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1834780.html;Feel 2.0 BHDi AT (180 л.с.)
Citroen C-Elysee 2020;13 070 $;350 000 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c-elysee-1838149.html;Feel New 1.6 MТ (115 л.с.)
Citroen C-Elysee 2019;11 371 $;303 810 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c-elysee-1819030.html;Individual New 1.2 МТ (82 л.с.)
Citroen Berlingo пасс. 2020;27 633 $;738 620 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1835823.html;Shine 1.5 BlueHDi AT (130 л.с.) L2
Citroen C5 Aircross 2019;32 010 $;855 620 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1834774.html;Shine 2.0 BHDi AT (180 л.с.)
Citroen C3 2020;21 671 $;579 000 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c3-1835637.html;Shine Aircross 1.5 BlueHDi AT (120 л.с.) S&S
Citroen C3 2020;19 278 $;500 000 грн;Винница;https://auto.ria.com/newauto/auto-citroen-c3-1826312.html;Feel Aircross 1.6 Hdi MT (92 л.с.)
Citroen Berlingo пасс. 2020;22 958 $;614 780 грн;Киев;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1837668.html;Shine 1.6 HDi MT (92 л.с.) L2
Citroen C-Elysee 2020;12 762 $;341 760 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c-elysee-1837621.html;Individual New 1.2 МТ (82 л.с.)
Citroen Berlingo пасс. 2020;20 004 $;487 300 грн;Винница;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1835131.html;Feel 1.6 HDi MT (92 л.с.) L2
Citroen Space Tourer 2018;41 000 $;1 095 422 грн;Винница;https://auto.ria.com/newauto/auto-citroen-space-tourer-1819634.html;Individual 2.0 HDi AT (150 л.с.) L3 Lounge
Citroen C4 Cactus 2020;21 125 $;564 660 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1835599.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C5 Aircross 2020;32 361 $;865 000 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c5-aircross-1831715.html;Individual 2.0 BHDi AT (180 л.с.)
Citroen C-Elysee 2020;12 125 $;324 100 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c-elysee-1835649.html;Feel New 1.2 МТ (82 л.с.)
Citroen C-Elysee 2020;13 267 $;354 460 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c-elysee-1834783.html;Feel New 1.6 MТ (115 л.с.)
Citroen Berlingo пасс. 2019;27 685 $;699 000 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1822379.html;Individual 1.5 BlueHDi AT (130 л.с.) L2
Citroen Berlingo пасс. 2020;31 506 $;841 770 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1830721.html;Individual 1.5 BlueHDi AT (130 л.с.) L2
Citroen Berlingo пасс. 2020;18 516 $;494 700 грн;Винница;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1839350.html;Feel 1.6 HDi MT (92 л.с.) L1
Citroen C5 Aircross 2019;31 863 $;853 240 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1837663.html;Shine 2.0 BHDi AT (180 л.с.)
Citroen C-Elysee 2020;14 861 $;397 950 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c-elysee-1839604.html;Feel New 1.6 VTI AT (115 л.с.)
Citroen C-Elysee 2020;13 237 $;354 460 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c-elysee-1839341.html;Feel New 1.6 MТ (115 л.с.)
Citroen C4 Cactus 2020;22 175 $;593 810 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1837657.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen Berlingo пасс. 2020;20 338 $;544 610 грн;Киев;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1837671.html;Feel 1.6 HDi MT (92 л.с.) L2
Citroen Berlingo пасс. 2020;22 998 $;614 708 грн;Киев;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1819309.html;Shine 1.6 HDi MT (92 л.с.) L2
Citroen C3 Aircross 2020;23 071 $;617 820 грн;Киев;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1837659.html;Individual 1.5 BlueHDi AT (120 л.с.) S&S
Citroen Jumper груз. 2020;30 297 $;811 300 грн;Киев;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1837857.html;4-35 L2H2 2.0 BlueHDi MT (160 л.с.)
Citroen C-Elysee 2020;16 467 $;440 170 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c-elysee-1836186.html;Shine New 1.6 VTI AT (115 л.с.)
Citroen C5 Aircross 2019;29 722 $;794 940 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1824225.html;Feel 2.0 BHDi AT (180 л.с.)
Citroen C3 Aircross 2020;23 242 $;622 390 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1838512.html;Shine 1.5 BlueHDi AT (120 л.с.) S&S
Citroen C3 Aircross 2020;22 686 $;606 390 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1836701.html;Shine 1.2 PureTech VTi AT (110 л.с.)
Citroen C3 2020;20 174 $;539 000 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c3-1814009.html;Individual Aircross 1.6 Hdi MT (92 л.с.)
Citroen C4 Cactus 2020;21 456 $;573 510 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-citroen-c4-cactus-1835380.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C4 Cactus 2020;21 077 $;564 400 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1838516.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C4 Cactus 2020;21 134 $;564 660 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1834621.html;Shine 1.5 BlueHDi АКПП (120 л.с.) S&S
Citroen C5 Aircross 2020;34 356 $;889 000 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1838485.html;Shine 2.0 BHDi AT (180 л.с.)
